Positionsnummer;DN;DA;Dämmdicke;Preis;Einheit;Bauteil
13.6;250.0;273.0;80;116.59;m;Rohrleitung
13.5;250.0;273.0;70;110.74;m;Rohrleitung
13.4;250.0;273.0;60;100.12;m;Rohrleitung
13.3;250.0;273.0;50;91.79;m;Rohrleitung
13.2;250.0;273.0;40;84.99;m;Rohrleitung
13.10;250.0;273.0;140;180.77;m;Rohrleitung
13.1;250.0;273.0;30;76.66;m;Rohrleitung
12.13;200.0;219.1;200;202.55;m;Rohrleitung
12.12;200.0;219.1;180;182.31;m;Rohrleitung
12.11;200.0;219.1;160;183.82;m;Rohrleitung
12.9;200.0;219.1;120;134.1;m;Rohrleitung
12.8;200.0;219.1;100;115.75;m;Rohrleitung
12.7;200.0;219.1;90;113.03;m;Rohrleitung
12.6;200.0;219.1;80;104.53;m;Rohrleitung
12.5;200.0;219.1;70;95.36;m;Rohrleitung
12.4;200.0;219.1;60;85.16;m;Rohrleitung
12.3;200.0;219.1;50;79.12;m;Rohrleitung
12.2;200.0;219.1;40;72.42;m;Rohrleitung
12.10;200.0;219.1;140;163.76;m;Rohrleitung
12.1;200.0;219.1;30;69.78;m;Rohrleitung
11.13;150.0;168.3;200;188.59;m;Rohrleitung
11.12;150.0;168.3;180;169.73;m;Rohrleitung
11.11;150.0;168.3;160;166.74;m;Rohrleitung
11.9;150.0;168.3;120;120.68;m;Rohrleitung
11.8;150.0;168.3;100;107.77;m;Rohrleitung
11.7;150.0;168.3;90;96.3;m;Rohrleitung
11.6;150.0;168.3;80;87.88;m;Rohrleitung
11.5;150.0;168.3;70;84.57;m;Rohrleitung
11.4;150.0;168.3;60;77.16;m;Rohrleitung
11.3;150.0;168.3;50;66.45;m;Rohrleitung
11.2;150.0;168.3;40;61.02;m;Rohrleitung
11.10;150.0;168.3;140;146.61;m;Rohrleitung
11.1;150.0;168.3;30;54.82;m;Rohrleitung
10.13;125.0;139.7;200;182.64;m;Rohrleitung
10.12;125.0;139.7;180;164.39;m;Rohrleitung
10.11;125.0;139.7;160;156.12;m;Rohrleitung
10.9;125.0;139.7;120;114.66;m;Rohrleitung
10.8;125.0;139.7;100;104.37;m;Rohrleitung
10.7;125.0;139.7;90;90.42;m;Rohrleitung
10.6;125.0;139.7;80;84.64;m;Rohrleitung
10.5;125.0;139.7;70;77.94;m;Rohrleitung
10.4;125.0;139.7;60;69.02;m;Rohrleitung
10.3;125.0;139.7;50;61.7;m;Rohrleitung
10.2;125.0;139.7;40;54.98;m;Rohrleitung
10.10;125.0;139.7;140;136.32;m;Rohrleitung
10.1;125.0;139.7;30;48.54;m;Rohrleitung
9.13;100.0;114.3;200;169.27;m;Rohrleitung
9.12;100.0;114.3;180;152.35;m;Rohrleitung
9.11;100.0;114.3;160;150.26;m;Rohrleitung
9.9;100.0;114.3;120;105.64;m;Rohrleitung
9.8;100.0;114.3;100;96.72;m;Rohrleitung
9.7;100.0;114.3;90;84.48;m;Rohrleitung
9.6;100.0;114.3;80;74.71;m;Rohrleitung
9.5;100.0;114.3;70;68.24;m;Rohrleitung
9.4;100.0;114.3;60;60.34;m;Rohrleitung
9.3;100.0;114.3;50;57.72;m;Rohrleitung
9.2;100.0;114.3;40;50.83;m;Rohrleitung
9.1;100.0;114.3;140;127.05;m;Rohrleitung
9.1;100.0;114.3;30;44.2;m;Rohrleitung
8.13;80.0;88.9;200;155.88;m;Rohrleitung
8.12;80.0;88.9;180;140.29;m;Rohrleitung
8.11;80.0;88.9;160;138.28;m;Rohrleitung
8.9;80.0;88.9;120;101.3;m;Rohrleitung
8.8;80.0;88.9;100;89.08;m;Rohrleitung
8.7;80.0;88.9;90;79.38;m;Rohrleitung
8.6;80.0;88.9;80;71.64;m;Rohrleitung
8.5;80.0;88.9;70;63.15;m;Rohrleitung
8.4;80.0;88.9;60;56.09;m;Rohrleitung
8.3;80.0;88.9;50;53.02;m;Rohrleitung
8.2;80.0;88.9;40;46.06;m;Rohrleitung
8.10;80.0;88.9;140;123.74;m;Rohrleitung
8.1;80.0;88.9;30;40.45;m;Rohrleitung
7.8;65.0;76.1;100;84.05;m;Rohrleitung
7.7;65.0;76.1;90;75.21;m;Rohrleitung
7.6;65.0;76.1;80;68.93;m;Rohrleitung
7.5;65.0;76.1;70;60.34;m;Rohrleitung
7.4;65.0;76.1;60;55.92;m;Rohrleitung
7.3;65.0;76.1;50;49.81;m;Rohrleitung
7.2;65.0;76.1;40;41.56;m;Rohrleitung
7.1;65.0;76.1;30;36.2;m;Rohrleitung
6.8;50.0;60.3;100;77.26;m;Rohrleitung
6.7;50.0;60.3;90;63.05;m;Rohrleitung
6.6;50.0;60.3;80;67.06;m;Rohrleitung
6.5;50.0;60.3;70;55.67;m;Rohrleitung
6.4;50.0;60.3;60;50.9;m;Rohrleitung
6.3;50.0;60.3;50;45.54;m;Rohrleitung
6.2;50.0;60.3;40;39.1;m;Rohrleitung
6.1;50.0;60.3;30;32.38;m;Rohrleitung
5.6;40.0;48.3;80;61.7;m;Rohrleitung
5.5;40.0;48.3;70;54.3;m;Rohrleitung
5.4;40.0;48.3;60;47.08;m;Rohrleitung
5.3;40.0;48.3;50;43.18;m;Rohrleitung
5.2;40.0;48.3;40;35.61;m;Rohrleitung
5.1;40.0;48.3;30;30.18;m;Rohrleitung
4.6;32.0;42.4;80;60.01;m;Rohrleitung
4.5;32.0;42.4;70;53.87;m;Rohrleitung
4.4;32.0;42.4;60;46.15;m;Rohrleitung
4.3;32.0;42.4;50;41.22;m;Rohrleitung
4.2;32.0;42.4;40;33.39;m;Rohrleitung
4.1;32.0;42.4;30;26.95;m;Rohrleitung
3.5;25.0;33.7;70;50.14;m;Rohrleitung
3.4;25.0;33.7;60;44.2;m;Rohrleitung
3.3;25.0;33.7;50;38.32;m;Rohrleitung
3.2;25.0;33.7;40;31.88;m;Rohrleitung
3.1;25.0;33.7;30;26.1;m;Rohrleitung
2.5;20.0;26.9;70;50.05;m;Rohrleitung
2.4;20.0;26.9;60;41.06;m;Rohrleitung
2.3;20.0;26.9;50;35.94;m;Rohrleitung
2.2;20.0;26.9;40;29.33;m;Rohrleitung
2.1;20.0;26.9;30;26.0;m;Rohrleitung
1.5;15.0;21.3;70;47.93;m;Rohrleitung
1.4;15.0;21.3;60;40.71;m;Rohrleitung
1.3;15.0;21.3;50;33.74;m;Rohrleitung
1.2;15.0;21.3;40;27.2;m;Rohrleitung
1.1;15.0;21.3;30;25.49;m;Rohrleitung
